W, , , , , , , , , , , , , , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , ,S, , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , ,K, , , , , , , , , ,
W, , , , , , , , , , , , , , , , , ,W, , ,G, , ,W,
 , , , , , , , , , , ,W, ,W, ,P, , , , , , , , , ,
W, , , , , , , , , , , , , , , , , ,W, , , , , ,W,
 , , , , ,M, , , , , ,W, , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , ,W, , , , , ,W,
 , , ,P, ,P, ,W, , , , , , , , ,P, , , , , , , , ,
W, , , , , , , , , , , , , , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , ,B, ,B, , ,
W, , , , , , , , , , , ,D, , , , , ,W, , , , , ,W,
 , , , , , , , , , ,P, , , , , , , , , , , , , , ,
W, , , , ,W, , , , , , , , , , , , , , , , , , ,W,
 , , , , , , ,P, , , , , , , , , , ,D, , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
