W, , , , , , ,W, , , , , , , , , , , , , , , , ,W,
 , , , , , , , , ,W, , , ,M, , , , , , , , , , , ,
W, , , , , , , , , , ,B, , , , , , , , , , , , ,W,
 , , , , , , , , , , , , ,W, ,P, ,P, , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , ,S, , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , ,W, ,W, ,W, ,W,
 , ,W, ,W, , , , , , , , , , , , , , , , , , , , ,
W, , , , , ,W, , , , ,P, , , , ,D, ,D, , , , , ,W,
 , ,K, , , , , , , , , , , , , , , , , , ,G, , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , ,W, ,W, ,W, ,W, ,W, , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , ,W, , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , ,D, , ,K, ,K, , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
