W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , ,D, , , , , , , ,
W, , , , , , , , , , , , , , , , , , ,M, , , , ,W,
 , , ,S, , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , ,W, ,W, ,W, ,W,,W
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, ,P, ,W, ,P, ,P, ,W, ,P, , , , ,W, , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , ,W, , ,K, , ,W, , , , , , ,W, , , ,G, , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, ,P, ,W, , , , , ,W, , , , , , ,W, , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , ,W, , , , , ,W, , , , , , ,W, , , , , , ,W,
 , , , , , , ,B, , , , , , , , , , , , , , , , , ,
W, ,P, ,W, , , , , ,W, , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
