W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , ,S, , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , ,M, , , , , , , , , , , , , , , ,W,
 , ,W, ,W, ,W, ,W, , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , ,G, , , ,W, , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , ,R, ,L, ,L, ,R, , ,R, , ,W,
 , , , , , , , ,W, , , , , , , ,W, , , , , , , , ,
W, , , , , , , , , ,W, ,W, ,W, , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , ,D, , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , ,L, , ,L, , ,L, , ,L, , ,P, ,P, ,R, , ,R, , , ,
W, , , , , , , , , , , , , , , , , , , , , K, , ,W,
 , , , , , , , , , , , , , ,P, ,P, , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
