W, , , , , , , , , ,W, ,W, , , ,W, , , ,W, , , ,W,
 , , , ,K, , , , , , , , , ,K, , , , , , , , , , ,
W, , , , , , , , , ,R, ,L, , , ,W, , , ,W, , , ,W,
 , , , , , , , , , ,L, ,R, , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , ,W, ,M, ,W, , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , ,W, ,R, ,L, ,W, ,L, ,W, , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , ,W, , , , , ,W, , , ,W, , , ,W,
 , , , , ,L, , , , , , , , , , , , ,R, , , , , , ,
W, , , , , , , , , ,W, , , , , ,W, , , ,W, , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , ,W, , , , , ,W, ,L, ,W, , , ,W,
 , ,B, ,B, , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , ,W, , , , , , , , , ,W, , , ,W,
 , , ,S, , , , , , , , , , ,D, ,D, ,R, , , , , , ,
W, , , , , ,R, ,R, ,W, , , , , , , , , , , ,G, ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
