W, , , , , , , , , , , , , , , ,W, , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , ,W, , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , ,W, , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , ,W, , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , ,W, , , ,G, , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , ,W, , , , , ,  , ,W,
 , , , , , , , , , , , , , , , , , ,P, ,P, ,P, , ,
W, , , , , , , , ,M, , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , ,W, ,P, ,P, , , , , , , , , , , , , ,W,
 , , ,S, , , , , , , , , , , , , , , , , , , , , ,
W, , , , , ,W, , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
