W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , ,W, , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , ,W, , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , ,W, , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , ,K, , , , , , , , , , , , ,W, , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , ,B, ,B, , , , , , , , , , , ,W, , , , , , , , ,
W, ,P, ,P, , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , ,W, , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , ,W, , , , , , , , ,
W, ,P, ,P, , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , ,S, , , ,D, , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , ,G, , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
