W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , ,K, ,M, , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , ,W, ,P, ,P, ,P, ,P, ,P, ,W, , , ,W,
 , , , ,W, ,W, , , , , , , , , , , , , , , ,B, , ,
W, ,R, , , , , , , , , , , , , , , , , ,W, ,P, ,W,
 , ,L, , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , ,R, , , , , , , , , , , , , , ,W,
 , , , ,R, , , , , , , , , , , , , , , , , ,L, , ,
W, , , , , , , , , , , , , , , , , , , ,R, ,W, ,W,
 , ,L, , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , ,M, , , , , , , , , , , ,W, , , ,W,
 , , , , , , , , , , , , , , , , , , , , , ,G, , ,
W, , , , , , , ,L, , , , , , , , , , , ,W, , , ,W,
 , , , , , , , , , , , , , , ,S, , , , , , ,D, , ,
W, , , ,L, , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
