W, , , , , , , , , , , ,M, , , , , ,D, ,D, , , ,W,
 , ,K, , , , , , , , , , , , , , , , , , , ,G, , ,
W, , , , , , , , , , , ,L, , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , ,W, ,W, ,W, , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , ,R, , , , , , , ,W, , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , ,R, ,R, ,W, ,K, , ,
W, , , , , , , , , , , ,L, , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , ,W, , , , ,
W, , , , , , , , , , , , , , , , , , , , , ,K, ,W,
 , ,P, ,P, ,L, ,L, , , , , , , , ,R, , ,W, , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , ,W, ,B, , ,
W, , , , , , , , , , , , , , , , , , , , , ,P, ,W,
 , , , , , , , , , , , , , , , ,S, , , ,D, , , , ,
W, , , , , , , , , , ,L, , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
