W, , , , , , , , , , , , , , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , ,M, , , , ,W, , , , , ,W,
 , , , ,S, , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , ,W, ,W, , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , ,W, ,W, , ,
W, ,W, ,W, ,P, , , , ,W, ,W, , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , ,G, , , ,
W, , , , , ,P, , , , , , , , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , ,P, , , , , , , , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , ,P, ,P, , ,
W, ,P, ,P, ,W, ,P, ,P, ,W, , , , , , ,B, , , , ,W,
 , , , , , , , , , , , , , ,W, , , , , , , , , , ,
W, ,P, ,P, , , , , , , , , , , ,W, , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, ,P, ,P, , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
