W, ,W, ,W, ,W, , , , , , , , , , , ,W, , , , , ,W,
 , , , , , , , ,W, , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , ,W, , , , , ,W,
 , , , , , , , ,D, , , , , , , , , , , , , , , , ,
W, , ,G, , , , , , , , , , ,M, , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, ,W, ,W, ,W, ,W, ,P, ,P, ,W, , , ,W, , ,K, , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , ,M, , ,P, ,P, , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , ,P, ,P, , , , , , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , ,P, ,P, , , , , , , , , , , ,W,
 , , , , ,S, , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
