W, , , , , , , , , , , , , , , ,W , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , ,S, , ,W,
 , , ,K, , , , , , , , , , , , , , , , , , , , , ,
W, , , , , ,M, , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , ,M, , , ,D, ,W, ,W, ,D, , ,
W, ,W, ,W, ,W, ,D, , , , , ,W, , , , , , , , , ,W,
 , , , , , , , , , ,P, ,P, , , , , ,W, , , , , , ,
W, ,K, , , , , , , , , , , , , , , , , , , ,P, ,W,
 , , , , , , , , , , , , , , , ,K, ,W, , ,G, , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , ,M, , , , , , , , , , , , , ,W, ,W, ,W, , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , ,B, , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , ,M, , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
