W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , ,K, , , , , , , , , ,K, , , , , , , , , ,K, , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, ,B, , , , , , ,B, ,B, ,B, ,B, , , , , , ,B, ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , ,M, , , , , , , ,S, , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , ,W, ,W, ,W, ,W, , , , , ,W, ,W, , ,
W, ,P, ,P, ,P, , , , , , , , , ,W, ,W, , , , , ,W,
 , , , , , , , ,D, , ,D, , ,D, , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , ,G, , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
