W, , , , , , , , , , , , , , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , ,W, , ,G, , ,W,
 , ,S, , , , , , , , , , , , , , , , , , , , , , ,
W, , , , ,M, , , , , , , ,M, , , , ,W, ,P, ,P, ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, ,P, ,P, ,P, ,L, ,L, ,P, ,L, ,L, , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , ,P, ,P, ,P, ,R, ,R, ,L, ,L, ,L, ,R, ,R, ,P, , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , ,P, ,P, , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , ,P, ,P, , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
