W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , ,W, , , , , , ,W, , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , ,W, , , , , , ,W, , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , ,W, , , , , , ,W, , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , ,W, , , , , , ,W, , ,G, , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , ,W, , , , , , ,W, ,P, ,P, ,P, , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , ,W, , , , , , ,W, , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , ,W, , , , , , ,W, , , , , ,R, ,R, , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , ,S, , , , , , , , , , , , , , , , , , , , ,
W, , , , , , ,L, , , , , , ,R, , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
