W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , ,M, , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, ,P, ,W, ,B, , ,B, , ,B, , ,B, , ,W, ,W, ,W, ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, ,P, , , , , ,P, , , ,P, , ,P, , ,W, , , , , ,W,
 , , ,S, , , , , , , , , , , , , , , , , ,G, , , ,
W, ,P, , , , , , , , , , , , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, ,W, ,W, ,W, , ,B, , ,B, , ,B, , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , ,P, ,P, , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , ,P, , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , ,S, , , , , , , , , , , , , , , , , , , , , ,
W, , , , , ,P, ,P, , , ,W, ,W, ,W, , , , , , , ,W,
 , , , , , , , , , , , , , , , , , ,P, , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
