W, , , , , , , , , , , ,W, , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , ,W, , , , , , , , , , , , , , , , , ,W,
 , , ,G, , , , , , , , ,M, , , , , ,W, ,B, ,B, , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , ,W, ,W, ,W, ,W, ,W, ,W, ,W, ,W, ,W, , , , , , ,
W, , , , , , , , , , , , , , , , , , , ,B, ,B, ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , ,P, ,P, ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , ,M, , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , ,M, , , , , , , , , , , , , , ,W,
 , , , , ,S, , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , ,M, , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
