W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , ,W, , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , ,W, , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , ,W, , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , ,W, , , , , , , , , , , , , , ,
W, , , , , , , , , , , ,L, ,L, ,W, , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , ,W, , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , ,R, ,R, ,R, ,L, ,L, ,L, ,W, , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , ,W, , , , , , , ,W,
 , , , , , , , , , ,S, , , , , , , , , ,G, , , , ,
W, , , , ,W, , , , , , , , , , ,W, , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
