W, , , , , , , , , , , , , , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , ,W, , , , , ,W,
 , , , , , , , , , , , ,S, , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , ,W, , ,G, , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , ,W, ,W, , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , ,M, , , , , ,W, , , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , ,P, ,P, ,W, , , , , , , , , , ,W, , , , , ,W,
 , , , , , , , , , , , , , , , , , , , ,B, ,B, , ,
W, , , , , , , , , , , , , , , , , , , ,P, ,P, ,W,
 , , , , , , , , , , , ,W, , , , , , , , , , , , ,
W, , , , , , , , , ,P, , , , , , , , , , , , , ,W,
 , , , , ,W, , , , , , , , , , , , , , , , , , , ,
W, , , , , , ,P, , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,
